,demand,weekofyear_trans,hourofweek_trans
2018-06-06 23:00:00,681.9000000000001,769.0291666666664,757.7833333333336
2018-06-07 00:00:00,659.6000000000001,769.0291666666664,717.3366666666666
2018-06-07 01:00:00,641.4000000000001,769.0291666666664,710.0966666666666
2018-06-07 02:00:00,568.4,769.0291666666664,629.3033333333332
2018-06-07 03:00:00,615.5,769.0291666666664,673.8966666666666
2018-06-07 04:00:00,629.0,769.0291666666664,659.8333333333334
2018-06-07 05:00:00,611.0,769.0291666666664,649.2033333333334
2018-06-07 06:00:00,593.6999999999999,769.0291666666664,649.6833333333335
2018-06-07 07:00:00,640.8,769.0291666666664,674.5099999999999
2018-06-07 08:00:00,712.7,769.0291666666664,753.2433333333335
2018-06-07 09:00:00,818.0,769.0291666666664,873.3933333333333
2018-06-07 10:00:00,909.1,769.0291666666664,982.8733333333334
2018-06-07 11:00:00,975.0,769.0291666666664,1049.74
2018-06-07 12:00:00,977.0,769.0291666666664,1056.8166666666666
2018-06-07 13:00:00,999.0999999999999,769.0291666666664,1049.6466666666665
2018-06-07 14:00:00,978.4000000000001,769.0291666666664,1040.9633333333336
2018-06-07 15:00:00,988.6999999999999,769.0291666666664,1063.6266666666666
2018-06-07 16:00:00,997.7,769.0291666666664,1060.09
2018-06-07 17:00:00,975.0,769.0291666666664,1049.0166666666669
2018-06-07 18:00:00,936.4000000000001,769.0291666666664,1039.256666666667
2018-06-07 19:00:00,917.4000000000001,769.0291666666664,1013.6233333333333
2018-06-07 20:00:00,886.4,769.0291666666664,981.0533333333332
2018-06-07 21:00:00,838.0,769.0291666666664,916.896666666667
2018-06-07 22:00:00,785.0,769.0291666666664,822.4733333333334
2018-06-07 23:00:00,769.9,769.0291666666664,788.7500000000001
2018-06-08 00:00:00,680.6999999999999,769.0291666666664,731.2533333333333
2018-06-08 01:00:00,668.7,769.0291666666664,713.003333333333
2018-06-08 02:00:00,562.4,769.0291666666664,627.5733333333333
2018-06-08 03:00:00,605.8,769.0291666666664,671.2633333333332
2018-06-08 04:00:00,600.0,769.0291666666664,658.7099999999999
2018-06-08 05:00:00,593.7,769.0291666666664,644.7699999999999
2018-06-08 06:00:00,574.9,769.0291666666664,644.0566666666667
2018-06-08 07:00:00,626.3000000000001,769.0291666666664,672.9500000000002
2018-06-08 08:00:00,706.4000000000001,769.0291666666664,756.0300000000003
2018-06-08 09:00:00,823.4,769.0291666666664,858.1100000000002
2018-06-08 10:00:00,931.5999999999999,769.0291666666664,956.4466666666666
2018-06-08 11:00:00,987.3000000000002,769.0291666666664,1029.3966666666665
2018-06-08 12:00:00,980.7,769.0291666666664,1051.7866666666664
2018-06-08 13:00:00,1011.3,769.0291666666664,1067.5566666666666
2018-06-08 14:00:00,999.1,769.0291666666664,1068.8966666666668
2018-06-08 15:00:00,1003.9000000000001,769.0291666666664,1067.0266666666669
2018-06-08 16:00:00,994.5999999999999,769.0291666666664,1067.77
2018-06-08 17:00:00,982.8000000000001,769.0291666666664,1052.4066666666668
2018-06-08 18:00:00,932.5999999999999,769.0291666666664,1021.1666666666665
2018-06-08 19:00:00,830.3000000000001,769.0291666666664,932.5533333333334
2018-06-08 20:00:00,745.9,769.0291666666664,828.4866666666666
2018-06-08 21:00:00,696.3,769.0291666666664,790.9266666666666
2018-06-08 22:00:00,679.9000000000001,769.0291666666664,757.6866666666666
2018-06-08 23:00:00,685.0999999999999,769.0291666666664,736.0600000000002
2018-06-09 00:00:00,644.8,769.0291666666664,704.0379310344827
2018-06-09 01:00:00,636.0,769.0291666666664,701.6758620689656
2018-06-09 02:00:00,560.9000000000001,769.0291666666664,613.4275862068966
2018-06-09 03:00:00,616.4000000000001,769.0291666666664,665.2413793103449
2018-06-09 04:00:00,603.8,769.0291666666664,655.1103448275862
